id;creation_date;notification_date;notification_type;notification_text;is_delivered;is_deleted
1;2022-08-13;2022-08-13;UNREAD_MESSAGES;Throughway Jewelery;false;true
2;2022-08-13;2022-08-12;REJECTED;CSS Shores;true;false
3;2022-08-12;2022-08-13;ACCEPTED;Executive;true;true
4;2022-08-12;2022-08-13;REJECTED;bluetooth Yen;false;false
5;2022-08-12;2022-08-12;REJECTED;partnerships Virtual Strategist;false;false
6;2022-08-12;2022-08-13;UNREAD_MESSAGES;Interface;true;false
7;2022-08-12;2022-08-13;UNREAD_MESSAGES;Fresh payment Health;false;true
8;2022-08-13;2022-08-12;UNREAD_MESSAGES;Berkshire AGP;false;true
9;2022-08-13;2022-08-12;NONE;Jewelery;true;false
10;2022-08-12;2022-08-13;UNREAD_MESSAGES;parsing;false;false
